autor,texto,data,link,hashtags,senioridade,localizacao,label
Bruno Maurus,"Que dia incrível no Santander Day (16/10)! 🚀Tive a oportunidade de mergulhar no universo de tecnologia e inovação doSantander Brasil. A agenda foi repleta de palestras valiosas, começando com uma visão geral do Ecossistema de Dados e IA da empresa.Discutimos temas de ponta, como Machine Learning aplicado à decisão de crédito, IA Responsável e o avanço da GenAI através do programa Data Masters.Um dos pontos altos foi conhecer os ""Programas que Transformam"", incluindo o Programa de Estágio Santander, e as diversas plataformas que apoiam o desenvolvimento profissional e o empreendedorismo, como a Open Academy,SantanderX, Campus Digital eUniversia.Foi uma excelente oportunidade para networking e para entender como o Santander está impulsionando a transformação digital.Obrigado ao Santander pelo convite e por compartilhar tantos insights valiosos!",4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386004733825654784,"['santanderday', 'santander', 'oportunidades', 'estagio', 'carreira', 'inovacao', 'tecnologia', 'dados', 'ia', 'ecossistemasantander']",estagio,sp,postagem
Celso Batista de Oliveira,"É com enorme orgulho que anunciamos a entrega do nosso Projeto Final de UPX IV ! Nossa equipe transformou o desafio da mobilidade urbana em uma solução completa: o Urbis Tech.Não construímos apenas um aplicativo; desenvolvemos um ecossistema que coloca a Inteligência Artificial no controle estratégico da frota:O Diferencial: Nossa IA Preditiva usa Machine Learning para antecipar picos de demanda e evitar superlotação, enviando sugestões proativas ao gestor (demonstramos até a taxa de aceitação!).O Usuário no Centro: O App Móvel dá autonomia ao passageiro, informando lotação em tempo real e previsão de chegada exata (ETA).Gestão 4.0: O Dashboard Operacional e o Painel Executivo (BI) transformam dados brutos em valor estratégico para a gestão pública.Todo o projeto foi concebido sob a metodologia Lean Startup e está alinhado com as ODS 9, 11 e 13, reforçando nosso compromisso com cidades mais sustentáveis.O vídeo explicativo completo de 9 minutos está disponível no link abaixo. Convidamos a todos para conhecerem nossa solução a fundo! 👇https://lnkd.in/gm6gN5_VGostaríamos de saber: Qual funcionalidade (Lotação em Tempo Real ou IA Preditiva) você acredita que traria mais impacto imediato para a sua cidade?",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391990348836900865,"['urbistech', 'mobilidadeinteligente', 'inteligenciaartificial', 'ods', 'mobilidade', 'estagio']",não identificado,sp,postagem
Guilherme Ribeiro,"Hoje assisti uma palestra do MIT (Massachusetts Institute of Technology) ministrada pela Esther Duflo, e quem a conhece, sabe que ela dispensa apresentações (Vou deixar um artigo do G1 que fala sobre ela no final do post, para que você a conheça também 🤝).O tema foi uma introdução a ""Data Analysis For Social Scientists"" e para mim que estou em busca de uma oportunidade de estágio para iniciar minha trajetória na análise de dados, e que sou faminto por conhecimento, foi, sinceramente, uma palestra simplesmente incrível e absurdamente enriquecedora!Alguns dos assuntos interessantes da palestra foram:- Imparcialidade analítica e viés de confirmação- A não implicância entre Correlação/Causalidade- Análises preditivas e Machine Learning- Correlação Espúria (Apofenia com dados)O assunto que mais me chamou atenção foi o de ""Data Driven"", e como a Esther Duflo o usou tanto em ""Data Driven Bussiness"" como em ""Data Driven Politics"" para fazer uma introdução à demonstração do poder dos dados, seguindo com o exemplo de sua participação no que aconteceu em Gujarat, um estado da Índia, onde, em colaboração com o conselho de controle da poluição, a ""criação"" e apresentação de dados os levaram à alteração de uma lei que acabou com um sistema fraudulento em que auditores terceirizados fabricavam dados fictícios sobre os níveis de poluição das empresas para manter, assim, a ""clientela"".A partir disso, eles interviram por meio de um sistema de auditorias aleatórias, que acabou com a relação comercial Auditor/Empresa, e retroativa, onde um outro auditor verificava a legitimidade dos dados obtidos em uma segunda verificação, o que impedia que a empresa oferecesse suborno aos primeiros auditores enviados.Para mim, o exemplo de Gujarat é simplesmente CIRÚRGICO, pois representa a ética envolvendo a legitimidade dos dados, o conceito de decisões orientadas a dados e o enorme poder que eles possuem, tanto para o bem quanto para o mal. Por isso, gostaria de compartilhar também uma frase dita durante a palestra que gostei bastante, e que resume bem a beleza que existe na utilização de dados:""Os dados não são apenas belos. Quando usados corretamente, podem ser reveladores e nos contar histórias muito bonitas e importantes"" - Esther DufloMatéria do G1=https://lnkd.in/dDXvgb6ALink da palestra =https://lnkd.in/dZeab-V3",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7393111613740032000,"['dataanalysis', 'analisededados', 'dataanalyst', 'analistadedados', 'datascience', 'cienciadedados', 'datascientist', 'cientistadedados', 'estagio', 'bi', 'businessintelligence', 'inteligenciadenegocios', 'bianalyst']",estagio,sp,postagem
Eugenio Caner,A parceria com o professor Hélio Migon tem sido estratégica para incorporar o estado da arte em métodos bayesianos em aplicações praticas de nossos clientes.,3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386376329576742912,[],não identificado,não identificado,postagem
Glauco Mokrejs de Castro,Por que um vídeo de sinuca na timeline de um líder de mídia programática?Porque às vezes a melhor jogada não é atacar.Escrevi sobre isso e adoraria ouvir sua opinião 🫶,4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385681185093480448,[],não identificado,não identificado,postagem
Data Trends,"🚀 Nova Oportunidade de Estágio: Cientista de Dados! 🚀Está cursando Ciência da Computação, Matemática ou Estatística e busca um estágio híbrido em São Paulo? O Grupo Boticário tem uma vaga para apoiar o desenvolvimento de produtos e serviços baseados em dados.A missão é colaborar com equipes multidisciplinares, aplicar algoritmos de machine learning em grandes volumes de dados e implementar/avaliar modelos com Python ou R, apresentando os resultados para os stakeholders.Principais tecnologias e requisitos:🔹 Cursando graduação em Ciência da Computação, Matemática, Estatística ou áreas correlatas🔹 Conhecimento em Python ou SQL🔹 Familiaridade com bibliotecas de análise de dados (NumPy, Pandas)🔹 Compreensão de conceitos estatísticos e machine learning🔗 Candidate-se para esta vaga específica aqui:https://lnkd.in/ddGnt7ZcEsta é apenas uma das grandes oportunidades que selecionamos para a comunidade de dados!👀 Quer ver mais vagas como esta? Explore nosso portal de oportunidades, sempre atualizado com as melhores posições do mercado de dados:https://lnkd.in/dWV_VCZ7",3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386456391265275915,"['cienciadedados', 'estagio', 'vagadeestagio', 'datascience', 'vagahibrida', 'oportunidade', 'python', 'sql', 'machinelearning', 'carreiratech', 'saopaulo', 'datatrends']",junior,são paulo,vaga
Arthur Azuirson,"Sabe quando a Netflix te sugere aquele filme perfeito? Spotify montando a playlist que lê sua mente? Esse é um exemplo concreto e aplicado de Machine Learning.Mas o que realmente é ML? Como exatamente uma Inteligência Artificial ""aprende""?Muita gente ainda vê o Machine Learning como um bicho de sete cabeças, algo restrito a gênios da computação. Mas essa tecnologia já é parte fundamental do nosso dia a dia, e entendê-la não é mais um luxo, mas uma necessidade.Eu escrevi um guia completo no blog sobre:🔹 O conceito básico: por que ML é mais sobre ""aprender com dados"" do que ""ser programado"".🔹 O processo de 6 passos: da coleta de dados até a decisão final.🔹 As tendências atuais: da IA Generativa (ChatGPT) até a importância da IA Explicável (XAI).🔹 Os desafios reais: o viés nos dados e o debate sobre a ""caixa preta"".",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7393625626244546562,"['machinelearning', 'ia', 'tecnologia', 'blog', 'guia']",não identificado,sp,postagem
Developer Girls,"🤖 O que é Machine Learning? comMariana Narita Benitez!Machine Learning é uma área da Inteligência Artificial (IA) que ensina computadores a reconhecer padrões e aprender com os dados que fornecemos — sem precisar programar cada regra! ✨É assim que plataformas de streaming sabem o que você gosta, bancos detectam fraudes e carros autônomos aprendem a dirigir sozinhos!💡 Quer começar a estudar?1️⃣ Aprenda Python 🐍2️⃣ Explore bibliotecas como scikit-learn ou PyTorch 🧠3️⃣ Pratique com projetos pessoais ou em plataformas online 💻🌍 Principais áreas de atuação:👁️‍🗨️ Visão Computacional (Computer Vision)🗣️ Processamento de Linguagem Natural (NLP)🎯 Sistemas de Recomendação🕵️‍♀️ Detecção de Fraudes📈 Análise Preditiva",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7388621076123127808,[],senior,não identificado,vaga
Green Tecnologia,"🚀 Machine Learning: o futuro da Inteligência Artificial já começou.Vivemos um momento em que dados são o novo petróleo e quem sabe transformá-los em valor sai na frente.Aqui, você vai entender o que é Machine Learning, como funciona, seus principais tipos, desafios e aplicações reais.💡 Descubra também como se preparar para trabalhar na área e dominar as ferramentas que estão moldando o futuro da tecnologia.👉 Ler agora:https://lnkd.in/dbzcgYKA",5 d,https://www.linkedin.com/feed/update/urn:li:activity:7394388701633646592,"['machinelearning', 'inteligenciaartificial', 'greentecnologia', 'aprendizadodemaquina', 'ia', 'futurodigital', 'tecnologia', 'datascience']",não identificado,não identificado,postagem
Padrinho,"🚨Estágio em Estatística, Python e Machine Learning – Trivicta🚨.📄Sobre a vaga: Estágio Pago em Estatística, Python e Machine Learning para explorar dados de comportamento digital e marketing, criar análises e modelos preditivos em Python, apoiar projetos de machine learning e IA, e aprender a conectar dados de plataformas.🏢Empresa: Avantare Trivicta - Inteligência Viva👨‍💻Atuação: híbrido🎓Nível: Estagio✨ verificada por IA!🔗link para a vaga:https://lnkd.in/dihUK7D7🚀Confira mais vagas em:https://meupadrinho.com.br",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7392251977256071168,"['vagas', 'vagasti', 'vagastech', 'oportunidades', 'tecnologia', 'carreira']",junior,não identificado,vaga
Marcela C. Ferreira,"👇 Confira Vagas 100% Home Office:🔹 Dev Júnior R$ 3.889,00 →nerdin.com.br/vaga/90679🔹 Front End R$ 14.000,00 →nerdin.com.br/vaga/91074🔹 Testes R$ 18.000,00 →nerdin.com.br/vaga/90258🔹 Analista de BI R$ 8.000,00 →nerdin.com.br/vaga/88329🔹 Dev Mobile R$ 25.000,00 →nerdin.com.br/vaga/90256🔹 Full Stack R$ 13.400,00 →nerdin.com.br/vaga/86218🔹 Salesforce →nerdin.com.br/vaga/88879🔹 Dev .Net →nerdin.com.br/vaga/88882🔹 Full R$ 15.000 →nerdin.com.br/vaga/90259🔹 QA →nerdin.com.br/vaga/88896🔹 Infra Cloud →nerdin.com.br/vaga/89892🔹 FinOps R$ 14.000 →nerdin.com.br/vaga/90998🔹 Analista de Sistemas →nerdin.com.br/vaga/91066🔹 Dev .Net R$ 18.000 →nerdin.com.br/vaga/91073🔹 Dev →nerdin.com.br/vaga/91036🔹 Back End R$ 18.000 →nerdin.com.br/vaga/90710🔹 Python R$ 14.200 →nerdin.com.br/vaga/90949🔍 Encontre a vaga ideal:➡️ Home Office (+250 vagas):nerdin.com.br/vagas?UF=HO➡️ Estágio / Júnior:https://lnkd.in/d9Et26Fp➡️ Todas as vagas (+600):nerdin.com.br/vagas🚀 Vagas de TI? Nerdin!",1 d,https://www.linkedin.com/feed/update/urn:li:activity:7395781430653620224,[],estagio,remoto,vaga
Herbert Durante Perazzelli,"👇 Confira Vagas 100% Home Office:🔹 Dev Júnior R$ 3.889,00 →nerdin.com.br/vaga/90679🔹 Front End R$ 14.000,00 →nerdin.com.br/vaga/91074🔹 Testes R$ 18.000,00 →nerdin.com.br/vaga/90258🔹 Analista de BI R$ 8.000,00 →nerdin.com.br/vaga/88329🔹 Dev Mobile R$ 25.000,00 →nerdin.com.br/vaga/90256🔹 Full Stack R$ 13.400,00 →nerdin.com.br/vaga/86218🔹 Salesforce →nerdin.com.br/vaga/88879🔹 Dev .Net →nerdin.com.br/vaga/88882🔹 Full R$ 15.000 →nerdin.com.br/vaga/90259🔹 QA →nerdin.com.br/vaga/88896🔹 Infra Cloud →nerdin.com.br/vaga/89892🔹 FinOps R$ 14.000 →nerdin.com.br/vaga/90998🔹 Analista de Sistemas →nerdin.com.br/vaga/91066🔹 Dev .Net R$ 18.000 →nerdin.com.br/vaga/91073🔹 Dev →nerdin.com.br/vaga/91036🔹 Back End R$ 18.000 →nerdin.com.br/vaga/90710🔹 Python R$ 14.200 →nerdin.com.br/vaga/90949🔍 Encontre a vaga ideal:➡️ Home Office (+250 vagas):nerdin.com.br/vagas?UF=HO➡️ Estágio / Júnior:https://lnkd.in/dM_9gikp➡️ Todas as vagas (+600):nerdin.com.br/vagas🚀 Vagas de TI? Nerdin!",1 d,https://www.linkedin.com/feed/update/urn:li:activity:7395796535826956289,[],estagio,remoto,vaga
Milena L.,💻Oportunidades em Tecnologia | Exclusivas para Pessoas com Deficiência (PcD)🔹 Software Developer Pleno👉https://lnkd.in/dTZ9twcr🔹 Senior Software Developer👉https://lnkd.in/dc9RpXRX🔹 Cientista de Dados Sênior👉https://lnkd.in/d2jBVzwz🔹 Machine Learning Engineer👉https://lnkd.in/dN_T24g2,2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391123093152337921,"['vagaspcd', 'tecnologia', 'oportunidades', 'sp', 'brasil', 'software', 'developer', 'engineer', 'desenvolvedor', 'dados']",junior,não identificado,vaga
