autor,texto,data,link,hashtags,senioridade,localizacao,label
Glauco Mokrejs de Castro,Por que um vídeo de sinuca na timeline de um líder de mídia programática?Porque às vezes a melhor jogada não é atacar.Escrevi sobre isso e adoraria ouvir sua opinião 🫶,4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385681185093480448,[],não identificado,não identificado,postagem
Data Trends,"🚀 Nova Oportunidade de Estágio: Cientista de Dados! 🚀Está cursando Ciência da Computação, Matemática ou Estatística e busca um estágio híbrido em São Paulo? O Grupo Boticário tem uma vaga para apoiar o desenvolvimento de produtos e serviços baseados em dados.A missão é colaborar com equipes multidisciplinares, aplicar algoritmos de machine learning em grandes volumes de dados e implementar/avaliar modelos com Python ou R, apresentando os resultados para os stakeholders.Principais tecnologias e requisitos:🔹 Cursando graduação em Ciência da Computação, Matemática, Estatística ou áreas correlatas🔹 Conhecimento em Python ou SQL🔹 Familiaridade com bibliotecas de análise de dados (NumPy, Pandas)🔹 Compreensão de conceitos estatísticos e machine learning🔗 Candidate-se para esta vaga específica aqui:https://lnkd.in/ddGnt7ZcEsta é apenas uma das grandes oportunidades que selecionamos para a comunidade de dados!👀 Quer ver mais vagas como esta? Explore nosso portal de oportunidades, sempre atualizado com as melhores posições do mercado de dados:https://lnkd.in/dWV_VCZ7",3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7386456391265275915,"['cienciadedados', 'estagio', 'vagadeestagio', 'datascience', 'vagahibrida', 'oportunidade', 'python', 'sql', 'machinelearning', 'carreiratech', 'saopaulo', 'datatrends']",junior,são paulo,vaga
Arthur Azuirson,"Sabe quando a Netflix te sugere aquele filme perfeito? Spotify montando a playlist que lê sua mente? Esse é um exemplo concreto e aplicado de Machine Learning.Mas o que realmente é ML? Como exatamente uma Inteligência Artificial ""aprende""?Muita gente ainda vê o Machine Learning como um bicho de sete cabeças, algo restrito a gênios da computação. Mas essa tecnologia já é parte fundamental do nosso dia a dia, e entendê-la não é mais um luxo, mas uma necessidade.Eu escrevi um guia completo no blog sobre:🔹 O conceito básico: por que ML é mais sobre ""aprender com dados"" do que ""ser programado"".🔹 O processo de 6 passos: da coleta de dados até a decisão final.🔹 As tendências atuais: da IA Generativa (ChatGPT) até a importância da IA Explicável (XAI).🔹 Os desafios reais: o viés nos dados e o debate sobre a ""caixa preta"".",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7393625626244546562,"['machinelearning', 'ia', 'tecnologia', 'blog', 'guia']",não identificado,sp,postagem
Developer Girls,"🤖 O que é Machine Learning? comMariana Narita Benitez!Machine Learning é uma área da Inteligência Artificial (IA) que ensina computadores a reconhecer padrões e aprender com os dados que fornecemos — sem precisar programar cada regra! ✨É assim que plataformas de streaming sabem o que você gosta, bancos detectam fraudes e carros autônomos aprendem a dirigir sozinhos!💡 Quer começar a estudar?1️⃣ Aprenda Python 🐍2️⃣ Explore bibliotecas como scikit-learn ou PyTorch 🧠3️⃣ Pratique com projetos pessoais ou em plataformas online 💻🌍 Principais áreas de atuação:👁️‍🗨️ Visão Computacional (Computer Vision)🗣️ Processamento de Linguagem Natural (NLP)🎯 Sistemas de Recomendação🕵️‍♀️ Detecção de Fraudes📈 Análise Preditiva",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7388621076123127808,[],senior,não identificado,vaga
Padrinho,"🚨Estágio em Estatística, Python e Machine Learning – Trivicta🚨.📄Sobre a vaga: Estágio Pago em Estatística, Python e Machine Learning para explorar dados de comportamento digital e marketing, criar análises e modelos preditivos em Python, apoiar projetos de machine learning e IA, e aprender a conectar dados de plataformas.🏢Empresa: Avantare Trivicta - Inteligência Viva👨‍💻Atuação: híbrido🎓Nível: Estagio✨ verificada por IA!🔗link para a vaga:https://lnkd.in/dihUK7D7🚀Confira mais vagas em:https://meupadrinho.com.br",1 sem,https://www.linkedin.com/feed/update/urn:li:activity:7392251977256071168,"['vagas', 'vagasti', 'vagastech', 'oportunidades', 'tecnologia', 'carreira']",junior,não identificado,vaga
Green Tecnologia,"🚀 Machine Learning: o futuro da Inteligência Artificial já começou.Vivemos um momento em que dados são o novo petróleo e quem sabe transformá-los em valor sai na frente.Aqui, você vai entender o que é Machine Learning, como funciona, seus principais tipos, desafios e aplicações reais.💡 Descubra também como se preparar para trabalhar na área e dominar as ferramentas que estão moldando o futuro da tecnologia.👉 Ler agora:https://lnkd.in/dbzcgYKA",5 d,https://www.linkedin.com/feed/update/urn:li:activity:7394388701633646592,"['machinelearning', 'inteligenciaartificial', 'greentecnologia', 'aprendizadodemaquina', 'ia', 'futurodigital', 'tecnologia', 'datascience']",não identificado,não identificado,postagem
Milena L.,💻Oportunidades em Tecnologia | Exclusivas para Pessoas com Deficiência (PcD)🔹 Software Developer Pleno👉https://lnkd.in/dTZ9twcr🔹 Senior Software Developer👉https://lnkd.in/dc9RpXRX🔹 Cientista de Dados Sênior👉https://lnkd.in/d2jBVzwz🔹 Machine Learning Engineer👉https://lnkd.in/dN_T24g2,2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7391123093152337921,"['vagaspcd', 'tecnologia', 'oportunidades', 'sp', 'brasil', 'software', 'developer', 'engineer', 'desenvolvedor', 'dados']",junior,não identificado,vaga
Antonio Alberto Moreira de Azevedo,"Amanhã, 29/10, no OTC BRASIL, apresentarei o artigo “Exploratory Analysis of the 3W Dataset for Detecting Operational Failures in Oil  Wells Using Machine Learning Techniques”.",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7388968058775666688,[],não identificado,não identificado,estrangeiro
Erica B. Giovanetti Turcarelli,"Quer fazer parte da Thoughtworks?Empresa que, há mais de 30 anos, vem moldando o futuro da tecnologia, ajudando clientes a resolver problemas complexos com soluções inovadoras e de alto impacto?A mesma onde nasceram conceitos como Continuous Delivery, Data Mesh, Evolutionary Architecture, Behavior-Driven Development (BDD), Continuous Integration, onde ajudamos empresas globais a transformar digitalmente seus negócios, contribuímos para práticas ágeis e DevOps de referência, lideramos iniciativas de diversidade e inclusão na tecnologia, participamos ativamente da comunidade open source e fomos reconhecidas como uma das melhores empresas para trabalhar no mundo… e ainda temos o Martin Fowler!Remoto + CLT (Brasil) 🇧🇷🌎 Todas as vagas exigem inglês avançado (C1/C2)ATENÇÃO: a maioria das vagas é para indicação. Se interessou? Me chame no privado com seu currículo em inglês.1. Lead Systems Support Engineer (São Paulo)2. Lead: Service Delivery Manager (São Paulo)3. Senior Data Engineer4. Senior Data Engineer5. Lead Android Mobile Developer6. Senior Mobile Developer (iOS)7. Senior Mobile Developer (Android)8. Senior Software Developer (Vaga Exclusiva para PCD)9. Lead Platform Engineer10. Lead System Architect11. Senior Developer - Python12. Lead iOS Mobile Developer13. Senior Machine Learning Engineer14. Lead Developer - Python15. Senior Machine Learning Engineer16. Pre-sales Solution Architect17. Business Partnerships & Operations Associate18. Senior Data Scientist19. Backend Developer - Python/Terraform20. Consultant Graduate Developer Backend21. Consultant Graduate Developer FullStack (Java + Spring Boot)22. Lead Systems Support Engineer – Affirmative Hiring for Women and Underrepresented Genders23. .NET Senior Developer24. Senior Developer (Python)25. Senior Data Analyst26. Senior Platform Engineer – WGD – Affirmative Hiring for Women and Gender Diversity27. Senior Consultant: Infrastructure Engineer28. Lead Developer: Fullstack (Java/React)29. Internal Communications Associate (Analista Júnior)Se interessou? Me chama no privado com seu currículo em inglês e vamos conversar!",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7389362591678164993,"['vagasti', 'tecnologia', 'engenhariadesoftware', 'oportunidades', 'thoughtwork']",junior,remoto,vaga
Thaís Costa Oliveira Giareta Conti,"Quer fazer parte da Thoughtworks?Empresa que, há mais de 30 anos, vem moldando o futuro da tecnologia, ajudando clientes a resolver problemas complexos com soluções inovadoras e de alto impacto?A mesma onde nasceram conceitos como Continuous Delivery, Data Mesh, Evolutionary Architecture, Behavior-Driven Development (BDD), Continuous Integration, onde ajudamos empresas globais a transformar digitalmente seus negócios, contribuímos para práticas ágeis e DevOps de referência, lideramos iniciativas de diversidade e inclusão na tecnologia, participamos ativamente da comunidade open source e fomos reconhecidas como uma das melhores empresas para trabalhar no mundo… e ainda temos o Martin Fowler!Remoto + CLT (Brasil) 🇧🇷🌎 Todas as vagas exigem inglês avançado (C1/C2)ATENÇÃO: a maioria das vagas é para indicação. Se interessou? Me chame no privado com seu currículo em inglês.1. Lead Systems Support Engineer (São Paulo)2. Lead: Service Delivery Manager (São Paulo)3. Senior Data Engineer4. Senior Data Engineer5. Lead Android Mobile Developer6. Senior Mobile Developer (iOS)7. Senior Mobile Developer (Android)8. Senior Software Developer (Vaga Exclusiva para PCD)9. Lead Platform Engineer10. Lead System Architect11. Senior Developer - Python12. Lead iOS Mobile Developer13. Senior Machine Learning Engineer14. Lead Developer - Python15. Senior Machine Learning Engineer16. Pre-sales Solution Architect17. Business Partnerships & Operations Associate18. Senior Data Scientist19. Backend Developer - Python/Terraform20. Consultant Graduate Developer Backend21. Consultant Graduate Developer FullStack (Java + Spring Boot)22. Lead Systems Support Engineer – Affirmative Hiring for Women and Underrepresented Genders23. .NET Senior Developer24. Senior Developer (Python)25. Senior Data Analyst26. Senior Platform Engineer – WGD – Affirmative Hiring for Women and Gender Diversity27. Senior Consultant: Infrastructure Engineer28. Lead Developer: Fullstack (Java/React)29. Internal Communications Associate (Analista Júnior)Se interessou? Me chama no privado com seu currículo em inglês e vamos conversar!",2 sem,https://www.linkedin.com/feed/update/urn:li:activity:7389293271463792641,"['vagasti', 'tecnologia', 'engenhariadesoftware', 'oportunidades', 'thoughtwork']",junior,remoto,vaga
Tiago Gomes”,"Quer trabalhar naThoughtworkse transformar o futuro da tecnologia?Estamos com vagas abertas em desenvolvimento, dados, mobile, infraestrutura e produto. Aqui você vai colaborar em projetos globais, com times diversos, usando tecnologias de ponta e conceitos que moldam a indústria, como Data Mesh, BDD e Continuous Delivery.Remoto + CLT (Brasil)Inglês avançado (C1/C2)Muitas vagas são por indicação. Se interessou, me chama no privado com seu currículo em inglês!Desenvolvimento e Arquitetura:- Lead Developer (Java)- Senior Developer (Java/Kotlin)- Senior Full Stack Developer (Python/React)- Lead Fullstack Developer (React/Kotlin)- Lead Developer: Fullstack (Java/React)- Lead Fullstack Developer | Python & React- Lead Frontend Developer (React)- Lead Developer - Python- .NET Senior Developer- Senior Developer- Technical LeadMobile:- Senior Mobile Developer (iOS)- Senior Mobile Developer (Android)- Lead iOS Mobile DeveloperDados e Machine Learning:- Senior Data Engineer- Senior Data Engineer- Lead Data Architect- Lead Data Architect - Data Lake- Lead Data Architect - Data Warehouse- Lead Data Architect - Data Lake- Lead Data Architect - Data Warehouse- Senior Machine Learning Engineer- Senior Machine Learning Engineer- Consultant Data Engineer- Data Analyst Consultant- Senior Data AnalystInfraestrutura e Plataformas:- Lead Platform Engineer- Senior Platform Engineer - WGD- Lead Systems Support Engineer (São Paulo)- Senior Consultant: Infrastructure Engineer- Lead System ArchitectGestão e Produto:- Pre-sales Solution Architect- Senior Product Manager - Data & AI (Advanced English)- Senior Product Manager (Data-Driven Product Manager, Generative AI)Vagas afirmativas:- Software Engineer Consultant | Vaga afirmativa para Pessoa com Deficiência- Senior Software Engineer | Vaga afirmativa para Pessoa com Deficiência- Senior Developer Python - WGD — Vaga afirmativa para Mulheres e Gêneros Sub-representados",3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7387190685847855105,"['vagasti', 'thoughtworks', 'tecnologia', 'oportunidades', 'diversidade']",junior,remoto,vaga
Fernando Darío Almeida García,"[EN] 📢 Open Call – Postdoctoral Research Position at INATEL 📢I am currently recruiting a Postdoctoral Researcher to join the 5G and 6G Network Competence Center, within the Wireless and Artificial Intelligence Laboratory (WAI Lab) at the National Institute of Telecommunications (Instituto Nacional de Telecomunicações - Inatel), Brazil 🇧🇷.The project focuses on the advanced performance analysis of Reconfigurable Intelligent Surfaces (RIS) in wideband systems — a key enabler technology for future 6G networks.🔗 Apply here:https://lnkd.in/er8BX6qr🔹 Key Details:Duration: 12 months (renewable for another 12 months)Scholarship value: BRL 10,000 – BRL 11,000 / monthFields: Antennas, Wireless Communications, Communication & Information Theory, Statistics, Probability, and Machine LearningApplication deadline: February 1, 2026[PT] 📢Chamada Aberta – Vaga de Pós-Doutorado no INATEL 📢Estou selecionando um pesquisador de pós-doutorado para integrar o Centro de Competência em Redes 5G e 6G, vinculado ao Laboratório de Inteligência Artificial e Comunicações Sem Fio (WAI Lab) doInstituto Nacional de Telecomunicações - Inatel, Brasil 🇧🇷.O projeto tem como foco a análise avançada de desempenho de Superfícies Inteligentes Reconfiguráveis (RIS) em sistemas de banda larga, uma das tecnologias-chave rumo ao 6G.🔗 Inscrições e processo seletivo:https://lnkd.in/er8BX6qr🔹 Detalhes:Duração: 12 meses, com possibilidade de prorrogação por mais 12 mesesBolsa: entre R$ 10.000 e R$ 11.000 mensaisÁreas: Antenas, Comunicações Sem Fio, Teoria da Comunicação e Informação, Estatística, Probabilidade e Aprendizado de MáquinaPrazo para inscrição: 1º de fevereiro de 2026",3 sem,https://www.linkedin.com/feed/update/urn:li:activity:7387181388963270656,"['postdoctoral', 'postdoc']",não identificado,não identificado,estrangeiro
Faustino Júnior,"Brazil’s AI paradox is here: a nation that adopts fast and demands rights faster. The path forward is risk-based rules, proportional obligations, and technical accountability that protect people without choking innovation.In this edition I break down user behavior vs. anxiety, the coming AI Act (PL 2.338/2023), and the technical gap that can trap good actors in hyper-compliance, plus a pragmatic playbook for leaders.Read and share your take: how would you redesign your data strategy for Brazil today?Follow: @faustinojunior.adv.brhttps://lnkd.in/dvz8fZ-m",4 sem,https://www.linkedin.com/feed/update/urn:li:activity:7385615726818185216,"['faustinojunior', 'ai', 'brazil', 'regulation', 'lgpd', 'aiact', 'governance', 'riskmanagement', 'privacy', 'opensource', 'compliance', 'strategy', 'faustinojunior', 'ia', 'brasil', 'lgpd', 'leideia', 'privacidade', 'opensource', 'compliance', 'newsletter']",junior,não identificado,estrangeiro
